"label","jobId","state","exitCode","account","partition","cpus","restarts","elapsedSeconds"
"27061644_190","27065193","COMPLETED","0:0","pi_jss233","day","1","0","1017"
"27061644_191","27065194","COMPLETED","0:0","pi_jss233","day","1","0","292"
"27061644_192","27065195","COMPLETED","0:0","pi_jss233","day","1","0","937"
"27061644_193","27065196","COMPLETED","0:0","pi_jss233","day","1","0","724"
"27061644_194","27065198","COMPLETED","0:0","pi_jss233","day","1","0","772"
"27061644_195","27065199","COMPLETED","0:0","pi_jss233","day","1","0","1185"
"27061644_196","27065200","COMPLETED","0:0","pi_jss233","day","1","0","301"
"27061644_197","27065202","COMPLETED","0:0","pi_jss233","day","1","0","1017"
"27061644_198","27065203","COMPLETED","0:0","pi_jss233","day","1","0","210"
"27061644_199","27065205","COMPLETED","0:0","pi_jss233","day","1","0","914"
"27061644_200","27065329","COMPLETED","0:0","pi_jss233","day","1","0","165"
"27061644_201","27065592","COMPLETED","0:0","pi_jss233","day","1","0","463"
"27061644_202","27065593","COMPLETED","0:0","pi_jss233","day","1","0","197"
"27061644_203","27065594","COMPLETED","0:0","pi_jss233","day","1","0","491"
"27061644_204","27065595","COMPLETED","0:0","pi_jss233","day","1","0","244"
"27061644_205","27065596","COMPLETED","0:0","pi_jss233","day","1","0","794"
"27061644_206","27065597","COMPLETED","0:0","pi_jss233","day","1","0","221"
"27061644_207","27065598","COMPLETED","0:0","pi_jss233","day","1","0","820"
"27061644_208","27065599","COMPLETED","0:0","pi_jss233","day","1","0","1105"
"27061644_209","27065600","COMPLETED","0:0","pi_jss233","day","1","0","728"
"27061644_210","27065601","COMPLETED","0:0","pi_jss233","day","1","0","1004"
"27061644_211","27065602","COMPLETED","0:0","pi_jss233","day","1","0","1059"
"27061644_212","27065603","COMPLETED","0:0","pi_jss233","day","1","0","1057"
"27061644_213","27065604","COMPLETED","0:0","pi_jss233","day","1","0","991"
"27061644_214","27065605","COMPLETED","0:0","pi_jss233","day","1","0","412"
"27061644_215","27065606","COMPLETED","0:0","pi_jss233","day","1","0","1170"
"27061644_216","27065607","COMPLETED","0:0","pi_jss233","day","1","0","282"
"27061644_217","27065608","COMPLETED","0:0","pi_jss233","day","1","0","1225"
"27061644_218","27065609","COMPLETED","0:0","pi_jss233","day","1","0","200"
"27061644_219","27065610","COMPLETED","0:0","pi_jss233","day","1","0","466"
"27061644_220","27065611","COMPLETED","0:0","pi_jss233","day","1","0","210"
"27061644_221","27065612","COMPLETED","0:0","pi_jss233","day","1","0","704"
"27061644_222","27065613","COMPLETED","0:0","pi_jss233","day","1","0","459"
"27061644_223","27065614","COMPLETED","0:0","pi_jss233","day","1","0","262"
"27061644_224","27065615","COMPLETED","0:0","pi_jss233","day","1","0","280"
"27061644_225","27065616","COMPLETED","0:0","pi_jss233","day","1","0","977"
"27061644_226","27065617","COMPLETED","0:0","pi_jss233","day","1","0","653"
"27061644_227","27065639","COMPLETED","0:0","pi_jss233","day","1","0","757"
"27061644_228","27065640","COMPLETED","0:0","pi_jss233","day","1","0","505"
"27061644_229","27065641","COMPLETED","0:0","pi_jss233","day","1","0","690"
"27061644_230","27065642","COMPLETED","0:0","pi_jss233","day","1","0","444"
"27061644_231","27065772","COMPLETED","0:0","pi_jss233","day","1","0","840"
"27061644_232","27066059","COMPLETED","0:0","pi_jss233","day","1","0","688"
"27061644_233","27066061","COMPLETED","0:0","pi_jss233","day","1","0","728"
"27061644_234","27066062","COMPLETED","0:0","pi_jss233","day","1","0","168"
"27061644_235","27066073","COMPLETED","0:0","pi_jss233","day","1","0","838"
"27061644_236","27066074","COMPLETED","0:0","pi_jss233","day","1","0","193"
"27061644_237","27066076","COMPLETED","0:0","pi_jss233","day","1","0","823"
"27061644_238","27066077","COMPLETED","0:0","pi_jss233","day","1","0","219"
"27061644_239","27066078","COMPLETED","0:0","pi_jss233","day","1","0","345"
"27061644_240","27066079","COMPLETED","0:0","pi_jss233","day","1","0","197"
"27061644_241","27066081","COMPLETED","0:0","pi_jss233","day","1","0","448"
"27061644_242","27066083","COMPLETED","0:0","pi_jss233","day","1","0","280"
"27061644_243","27066084","COMPLETED","0:0","pi_jss233","day","1","0","849"
"27061644_244","27066091","COMPLETED","0:0","pi_jss233","day","1","0","1180"
"27061644_245","27066207","COMPLETED","0:0","pi_jss233","day","1","0","296"
"27061644_246","27066214","COMPLETED","0:0","pi_jss233","day","1","0","338"
"27061644_247","27066219","COMPLETED","0:0","pi_jss233","day","1","0","823"
"27061644_248","27066220","COMPLETED","0:0","pi_jss233","day","1","0","296"
"27061644_249","27066221","COMPLETED","0:0","pi_jss233","day","1","0","328"
"27061644_250","27066223","COMPLETED","0:0","pi_jss233","day","1","0","1195"
"27061644_251","27066224","COMPLETED","0:0","pi_jss233","day","1","0","1131"
"27061644_252","27066225","COMPLETED","0:0","pi_jss233","day","1","0","747"
"27061644_253","27066226","COMPLETED","0:0","pi_jss233","day","1","0","1107"
"27061644_254","27066680","COMPLETED","0:0","pi_jss233","day","1","0","398"
