"jobLabel","rawJobId","state","exitCode","account","partition","allocatedCpus","restarts","elapsedSeconds","totalCpu","maxRss","requestedMemory","timeLimitMinutes","requestedTres","allocatedTres"
"27365752_45.batch","27366053.batch","COMPLETED","0:0","pi_jss233","","1","","602","09:50.647","869812K","","","","cpu=1,mem=8G,node=1"
"27365752_45.extern","27366053.extern","COMPLETED","0:0","pi_jss233","","1","","602","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_46","27366104","COMPLETED","0:0","pi_jss233","day","1","0","1718","28:25.519","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_46.batch","27366104.batch","COMPLETED","0:0","pi_jss233","","1","","1718","28:25.519","902000K","","","","cpu=1,mem=8G,node=1"
"27365752_46.extern","27366104.extern","COMPLETED","0:0","pi_jss233","","1","","1718","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_47","27366105","COMPLETED","0:0","pi_jss233","day","1","0","1426","23:35.796","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_47.batch","27366105.batch","COMPLETED","0:0","pi_jss233","","1","","1426","23:35.796","895920K","","","","cpu=1,mem=8G,node=1"
"27365752_47.extern","27366105.extern","COMPLETED","0:0","pi_jss233","","1","","1426","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_48","27366110","COMPLETED","0:0","pi_jss233","day","1","0","591","09:41.493","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_48.batch","27366110.batch","COMPLETED","0:0","pi_jss233","","1","","591","09:41.493","870240K","","","","cpu=1,mem=8G,node=1"
"27365752_48.extern","27366110.extern","COMPLETED","0:0","pi_jss233","","1","","591","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_49","27366111","COMPLETED","0:0","pi_jss233","day","1","0","625","10:09.281","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_49.batch","27366111.batch","COMPLETED","0:0","pi_jss233","","1","","625","10:09.281","867224K","","","","cpu=1,mem=8G,node=1"
"27365752_49.extern","27366111.extern","COMPLETED","0:0","pi_jss233","","1","","625","00:00:00","7568K","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_50","27366116","COMPLETED","0:0","pi_jss233","day","1","0","591","09:41.933","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_50.batch","27366116.batch","COMPLETED","0:0","pi_jss233","","1","","591","09:41.933","879736K","","","","cpu=1,mem=8G,node=1"
"27365752_50.extern","27366116.extern","COMPLETED","0:0","pi_jss233","","1","","591","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_51","27366117","COMPLETED","0:0","pi_jss233","day","1","0","743","12:14.699","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_51.batch","27366117.batch","COMPLETED","0:0","pi_jss233","","1","","743","12:14.699","866632K","","","","cpu=1,mem=8G,node=1"
"27365752_51.extern","27366117.extern","COMPLETED","0:0","pi_jss233","","1","","743","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_52","27366141","COMPLETED","0:0","pi_jss233","day","1","0","246","04:03.517","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_52.batch","27366141.batch","COMPLETED","0:0","pi_jss233","","1","","246","04:03.517","843860K","","","","cpu=1,mem=8G,node=1"
"27365752_52.extern","27366141.extern","COMPLETED","0:0","pi_jss233","","1","","246","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_53","27366143","COMPLETED","0:0","pi_jss233","day","1","0","521","08:30.663","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_53.batch","27366143.batch","COMPLETED","0:0","pi_jss233","","1","","521","08:30.663","876580K","","","","cpu=1,mem=8G,node=1"
"27365752_53.extern","27366143.extern","COMPLETED","0:0","pi_jss233","","1","","521","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
"27365752_54","27366145","COMPLETED","0:0","pi_jss233","day","1","0","1554","25:42.193","","8G","360","billing=1,cpu=1,mem=8G,node=1","billing=1,cpu=1,mem=8G,node=1"
"27365752_54.batch","27366145.batch","COMPLETED","0:0","pi_jss233","","1","","1554","25:42.193","895096K","","","","cpu=1,mem=8G,node=1"
"27365752_54.extern","27366145.extern","COMPLETED","0:0","pi_jss233","","1","","1554","00:00:00","","","","","billing=1,cpu=1,mem=8G,node=1"
