"contrast","endpoint","group","id","transition","count"
"unbounded_minus_v2","v6","maps","pacific-heights","W->L","0"
"unbounded_minus_v2","v6","maps","pacific-heights","D->W","1"
"unbounded_minus_v2","v6","maps","pacific-heights","D->D","1"
"unbounded_minus_v2","v6","maps","pacific-heights","D->L","0"
"unbounded_minus_v2","v6","maps","pacific-heights","L->W","1"
"unbounded_minus_v2","v6","maps","pacific-heights","L->D","1"
"unbounded_minus_v2","v6","maps","pacific-heights","L->L","0"
"unbounded_minus_v2","v6","maps","peak","W->W","3"
"unbounded_minus_v2","v6","maps","peak","W->D","1"
"unbounded_minus_v2","v6","maps","peak","W->L","1"
"unbounded_minus_v2","v6","maps","peak","D->W","0"
"unbounded_minus_v2","v6","maps","peak","D->D","3"
"unbounded_minus_v2","v6","maps","peak","D->L","0"
"unbounded_minus_v2","v6","maps","peak","L->W","0"
"unbounded_minus_v2","v6","maps","peak","L->D","0"
"unbounded_minus_v2","v6","maps","peak","L->L","0"
"unbounded_minus_v2","v6","maps","south-pacific","W->W","0"
"unbounded_minus_v2","v6","maps","south-pacific","W->D","0"
"unbounded_minus_v2","v6","maps","south-pacific","W->L","0"
"unbounded_minus_v2","v6","maps","south-pacific","D->W","0"
"unbounded_minus_v2","v6","maps","south-pacific","D->D","6"
"unbounded_minus_v2","v6","maps","south-pacific","D->L","0"
"unbounded_minus_v2","v6","maps","south-pacific","L->W","0"
