"caseIndex","caseId","blockIndex","cohort","mapId","countryOrdinal","country","candidateStartOrdinal","opponentStartOrdinal","candidateStart","opponentStart","candidateSlot","repeatIndex","pairIndex","pairId","requestedEngineSeed","observedCandidateStart","observedOpponentStart","updates","selectorJobId","cellSha256"
"44","fresh-dual-v1-0044","0","central","hfo-le","0","Americans","2","0","151,119","39,82","0","2","22","central:hfo-le:0:2:2","3765000022","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"45","fresh-dual-v1-0045","0","central","hfo-le","0","Americans","2","0","151,119","39,82","1","2","22","central:hfo-le:0:2:2","3765000022","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"46","fresh-dual-v1-0046","0","central","hfo-le","0","Americans","2","0","151,119","39,82","0","3","23","central:hfo-le:0:2:3","3765000023","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"47","fresh-dual-v1-0047","0","central","hfo-le","0","Americans","2","0","151,119","39,82","1","3","23","central:hfo-le:0:2:3","3765000023","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"48","fresh-dual-v1-0048","0","central","hfo-le","0","Americans","2","0","151,119","39,82","0","4","24","central:hfo-le:0:2:4","3765000024","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"49","fresh-dual-v1-0049","0","central","hfo-le","0","Americans","2","0","151,119","39,82","1","4","24","central:hfo-le:0:2:4","3765000024","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"50","fresh-dual-v1-0050","0","central","hfo-le","0","Americans","2","0","151,119","39,82","0","5","25","central:hfo-le:0:2:5","3765000025","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"51","fresh-dual-v1-0051","0","central","hfo-le","0","Americans","2","0","151,119","39,82","1","5","25","central:hfo-le:0:2:5","3765000025","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"52","fresh-dual-v1-0052","0","central","hfo-le","0","Americans","2","0","151,119","39,82","0","6","26","central:hfo-le:0:2:6","3765000026","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"53","fresh-dual-v1-0053","0","central","hfo-le","0","Americans","2","0","151,119","39,82","1","6","26","central:hfo-le:0:2:6","3765000026","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"54","fresh-dual-v1-0054","0","central","hfo-le","0","Americans","2","0","151,119","39,82","0","7","27","central:hfo-le:0:2:7","3765000027","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"55","fresh-dual-v1-0055","0","central","hfo-le","0","Americans","2","0","151,119","39,82","1","7","27","central:hfo-le:0:2:7","3765000027","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"56","fresh-dual-v1-0056","0","central","hfo-le","0","Americans","2","0","151,119","39,82","0","8","28","central:hfo-le:0:2:8","3765000028","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"57","fresh-dual-v1-0057","0","central","hfo-le","0","Americans","2","0","151,119","39,82","1","8","28","central:hfo-le:0:2:8","3765000028","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"58","fresh-dual-v1-0058","0","central","hfo-le","0","Americans","2","0","151,119","39,82","0","9","29","central:hfo-le:0:2:9","3765000029","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"59","fresh-dual-v1-0059","0","central","hfo-le","0","Americans","2","0","151,119","39,82","1","9","29","central:hfo-le:0:2:9","3765000029","151,119","39,82","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"60","fresh-dual-v1-0060","0","central","hfo-le","0","Americans","3","1","88,157","88,34","0","0","30","central:hfo-le:0:3:0","3765000030","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
"61","fresh-dual-v1-0061","0","central","hfo-le","0","Americans","3","1","88,157","88,34","1","0","30","central:hfo-le:0:3:0","3765000030","88,157","88,34","0","24651417","9dc109b1e357269a6a40b1c07eabe230a2af97b70b54ba05bbfaff12f5dc9b29"
